Date,Volume,Open,Close,High,Low
2021-02-18 05:00:00,32130240.0,330.23,332.47,333.8661,328.36
2021-02-19 05:00:00,39133477.0,333.86,331.02,333.99,329.97
2021-02-22 05:00:00,47240694.0,326.5,322.44,327.8,322.23
2021-02-23 05:00:00,97201736.0,317.0,321.48,323.2,311.0
2021-02-24 05:00:00,58036272.0,318.74,324.13,324.45,315.96
2021-02-25 05:00:00,110071982.0,321.39,312.83,324.03,311.24
2021-02-26 05:00:00,104673541.0,315.85,314.14,319.11,310.88
2021-03-01 05:00:00,49157768.0,319.27,323.59,323.94,317.935
2021-03-02 05:00:00,48366034.0,324.25,318.4,324.33,318.14
2021-03-03 05:00:00,86297473.0,317.27,309.16,318.24,309.1
2021-03-04 05:00:00,138953932.0,308.78,304.1,312.04,300.11
2021-03-05 05:00:00,121189626.0,306.795,308.68,309.609,297.45
2021-03-08 05:00:00,87976781.0,308.12,299.94,310.06,299.51
2021-03-09 05:00:00,80302164.0,307.47,311.77,313.73,306.92
2021-03-10 05:00:00,76767465.0,316.16,310.88,316.47,310.17
2021-03-11 05:00:00,53404804.0,315.77,318.04,319.86,314.85
2021-03-12 05:00:00,69208501.0,313.86,315.46,318.2302,311.391
2021-03-15 04:00:00,43120576.0,315.79,318.83,319.0,314.095
2021-03-16 04:00:00,54862896.0,321.09,320.58,324.2,319.1
2021-03-17 04:00:00,78187729.0,317.45,321.9,323.85,315.68
2021-03-18 04:00:00,82915769.0,316.87,312.04,317.8801,311.57
2021-03-19 04:00:00,78205113.0,311.87,313.14,314.73,309.6601
2021-03-22 04:00:00,55914755.0,315.21,318.61,320.74,315.21
2021-03-23 04:00:00,53455411.0,319.73,317.22,321.09,316.375
2021-03-24 04:00:00,64742079.0,318.63,311.87,318.67,311.72
2021-03-25 04:00:00,78621908.0,309.968,311.33,312.885,307.3899
2021-03-26 04:00:00,62909634.0,311.11,316.0,316.33,309.67
2021-03-29 04:00:00,54597463.0,315.45,315.91,316.99,312.47
2021-03-30 04:00:00,44527676.0,313.89,314.32,314.91,311.54
2021-03-31 04:00:00,55024785.0,316.16,319.13,320.74,315.81
2021-04-01 04:00:00,55607602.0,323.07,324.57,324.71,322.81
2021-04-05 04:00:00,42028475.0,327.13,331.05,331.84,326.88
2021-04-06 04:00:00,33523560.0,330.73,330.82,332.83,330.02
2021-04-07 04:00:00,31639881.0,330.33,331.62,332.48,329.37
2021-04-08 04:00:00,29921199.0,334.56,335.08,335.27,333.7399
2021-04-09 04:00:00,36409961.0,333.68,337.11,337.32,332.92
2021-04-12 04:00:00,25818913.0,336.04,336.67,337.1,334.73
2021-04-13 04:00:00,30368033.0,338.24,340.6,341.08,338.02
2021-04-14 04:00:00,42564337.0,340.85,336.51,340.98,335.67
2021-04-15 04:00:00,36342821.0,339.47,341.61,342.01,339.33
2021-04-16 04:00:00,40099199.0,342.15,342.01,342.23,340.08
2021-04-19 04:00:00,34532098.0,340.39,338.88,341.58,336.9016
2021-04-20 04:00:00,38081818.0,338.2,336.41,339.52,334.3816
2021-04-21 04:00:00,36590282.0,335.09,339.29,339.48,333.97
2021-04-22 04:00:00,45912643.0,338.89,335.2,339.9,334.01
2021-04-23 04:00:00,36356366.0,335.85,339.42,340.767,335.85
2021-04-26 04:00:00,30803468.0,339.67,341.63,341.92,338.9
2021-04-27 04:00:00,32387183.0,341.93,340.15,342.15,339.17
2021-04-28 04:00:00,33390696.0,339.81,339.0,340.85,338.3301
2021-04-29 04:00:00,37705384.0,342.37,340.22,342.8,336.9001
2021-04-30 04:00:00,38174221.0,337.7,337.99,340.26,337.05
2021-05-03 04:00:00,29729730.0,339.23,336.19,340.0,335.73
2021-05-04 04:00:00,65137972.0,333.56,330.14,333.89,326.21
2021-05-05 04:00:00,46219307.0,332.25,329.03,333.14,328.23
2021-05-06 04:00:00,46803883.0,328.76,331.51,331.67,326.45
2021-05-07 04:00:00,53125720.0,334.37,334.2,336.65,333.06
2021-05-10 04:00:00,60692062.0,332.78,325.76,332.96,325.55
2021-05-11 04:00:00,71869412.0,319.7,325.31,326.1299,319.02
2021-05-12 04:00:00,91135955.0,320.23,316.89,322.62,316.0
2021-05-13 04:00:00,69871165.0,319.92,319.34,322.4,316.9
2021-05-14 04:00:00,44317365.0,322.6,326.39,327.33,322.08
2021-05-17 04:00:00,39291997.0,324.63,324.41,326.3721,321.45
2021-05-18 04:00:00,36520954.0,325.39,322.22,326.65,321.94
2021-05-19 04:00:00,66010508.0,316.66,322.59,322.9,316.3
2021-05-20 04:00:00,46054337.0,324.12,328.83,329.71,323.89
2021-05-21 04:00:00,50263899.0,330.43,327.01,330.86,326.64
2021-05-24 04:00:00,32408771.0,329.37,332.51,333.67,329.0
2021-05-25 04:00:00,31263389.0,334.07,332.97,334.81,331.755
2021-05-26 04:00:00,25419932.0,333.66,334.13,334.61,332.95
2021-05-27 04:00:00,27886997.0,333.67,332.88,334.54,332.67
2021-05-28 04:00:00,29927449.0,334.12,333.93,335.5699,333.6
2021-06-01 04:00:00,30916778.0,335.3,332.82,335.785,331.43
2021-06-02 04:00:00,22044340.0,333.25,333.47,334.34,331.695
2021-06-03 04:00:00,36765825.0,330.55,330.0,331.86,328.28
2021-06-04 04:00:00,38697195.0,331.85,335.6,336.0582,331.78
2021-06-07 04:00:00,32496902.0,335.05,336.6,336.66,334.34
2021-06-08 04:00:00,27282819.0,338.395,336.76,339.29,335.03
2021-06-09 04:00:00,21485319.0,338.17,336.84,338.97,336.651
2021-06-10 04:00:00,33702067.0,337.19,340.35,340.46,336.73
2021-06-11 04:00:00,21142830.0,340.36,341.24,341.25,339.69
2021-06-14 04:00:00,27827716.0,341.68,344.51,344.52,340.46
2021-06-15 04:00:00,35963780.0,344.15,342.26,344.47,341.52
2021-06-16 04:00:00,55354045.0,342.74,341.01,343.84,337.45
2021-06-17 04:00:00,59582100.0,339.97,345.34,346.38,339.92
2021-06-18 04:00:00,55176712.0,343.63,342.63,344.8082,341.86
2021-06-21 04:00:00,32915249.0,342.43,344.36,344.69,340.15
2021-06-22 04:00:00,28833626.0,344.15,347.57,348.03,343.84
2021-06-23 04:00:00,27188454.0,347.51,347.74,348.92,346.88
2021-06-24 04:00:00,32565105.0,349.73,349.89,351.46,349.17
2021-06-25 04:00:00,28646601.0,350.47,349.46,350.72,348.84
2021-06-28 04:00:00,39130305.0,350.78,353.71,353.85,350.72
2021-06-29 04:00:00,29426039.0,353.53,354.99,355.0199,352.67
2021-06-30 04:00:00,32723964.0,354.83,354.43,355.23,353.83
2021-07-01 04:00:00,29262128.0,354.07,354.57,355.09,352.68
2021-07-02 04:00:00,32727244.0,356.52,358.64,358.97,356.28
2021-07-06 04:00:00,38842394.0,359.26,360.19,360.48,356.49
2021-07-07 04:00:00,35249642.0,362.45,360.95,362.76,358.94
2021-07-08 04:00:00,50676771.0,355.74,358.77,359.65,354.42
2021-07-09 04:00:00,35184534.0,358.17,361.01,361.5,357.57
2021-07-12 04:00:00,25690477.0,362.45,362.42,362.89,360.83
2021-07-13 04:00:00,39655565.0,362.03,362.42,365.465,361.54
2021-07-14 04:00:00,34856350.0,364.83,363.07,365.49,362.22
2021-07-15 04:00:00,53354057.0,362.98,360.52,363.19,358.46
2021-07-16 04:00:00,46803811.0,361.4,357.6,362.41,357.24
2021-07-19 04:00:00,64277525.0,354.05,354.67,355.18,352.04
2021-07-20 04:00:00,42134202.0,355.63,358.79,360.28,353.8
2021-07-21 04:00:00,30259860.0,358.35,361.56,361.56,358.12
2021-07-22 04:00:00,30124140.0,361.77,363.95,363.96,361.77
2021-07-23 04:00:00,31828799.0,365.31,368.2,368.485,363.9157
2021-07-26 04:00:00,28298125.0,367.49,368.49,368.89,366.601
2021-07-27 04:00:00,57684648.0,368.22,364.43,368.22,360.16
2021-07-28 04:00:00,41966195.0,365.6,365.83,367.45,363.24
2021-07-29 04:00:00,25618533.0,365.25,366.48,367.6794,365.25
2021-07-30 04:00:00,36484649.0,362.44,364.57,365.17,362.41
2021-08-02 04:00:00,27323597.0,366.28,364.6,366.88,363.87
2021-08-03 04:00:00,35468511.0,365.28,366.81,366.93,362.0
2021-08-04 04:00:00,29602236.0,366.77,367.34,368.32,365.63
2021-08-05 04:00:00,21438675.0,368.18,369.67,369.91,367.45
2021-08-06 04:00:00,32543206.0,368.37,368.05,369.37,366.905
2021-08-09 04:00:00,25959984.0,368.52,368.73,369.27,367.39
